ACTUAL_NUM_TASKS,CRITICAL_PATH_TASKS,DAG_DEPTH,ENERGY_JOULES,MAX_PARALLEL_WIDTH,NUM_EDGES,NUM_TASK_CATEGORIES,PLATFORM_CORES_PER_HOST,PLATFORM_DISK_BW_MBPS,PLATFORM_HOST_SPEED_GF,PLATFORM_NAME,PLATFORM_NET_BW_MBPS,PLATFORM_NET_LATENCY_MS,PLATFORM_NUM_HOSTS,PLATFORM_TOTAL_CORES,PLATFORM_WATT_BUSY,PLATFORM_WATT_IDLE,SIMULATED_MAKESPAN_SEC,TOTAL_INPUT_BYTES,WORKFLOW_TYPE
148,2,1,0.56,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005256,2806995,Seismology
148,2,1,0.57,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005278,2835083,Seismology
148,2,1,0.57,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005176,2787092,Seismology
148,2,1,0.55,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.0054,2782577,Seismology
148,2,1,0.53,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005107,2933741,Seismology
148,2,1,0.56,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005056,2832227,Seismology
148,2,1,0.54,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005076,2825914,Seismology
148,2,1,0.57,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005189,2847176,Seismology
148,2,1,0.53,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.005085,2828647,Seismology
148,2,1,0.53,147,147,2,160,1000,336.0,dell_r6715,3125,0.01,1,160,374,72.8,0.004979,2674921,Seismology
148,2,1,0.75,147,147,2,320,1000,672.0,dell_r6725,3125,0.01,1,320,711,135.0,0.00492,2764859,Seismology
148,2,1,0.77,147,147,2,320,1000,672.0,dell_r6725,3125,0.01,1,320,711,135.0,0.005119,2874595,Seismology
148,2,1,0.76,147,147,2,320,1000,672.0,dell_r6725,3125,0.01,1,320,711,135.0,0.004963,2745786,Seismology
148,2,1,0.73,147,147,2,320,1000,672.0,dell_r6725,3125,0.01,1,320,711,135.0,0.004763,2626933,Seismology
