row_id,workflow_type,task_count,instance,actual_num_tasks,num_edges,dag_depth,max_parallel_width,critical_path_tasks,num_task_categories,total_input_bytes,platform_name,num_hosts,cores_per_host,total_cores,speed_gf,net_bw,net_lat,disk_bw,watt_idle,watt_busy,makespan_sec,energy_joules
83eeb965a1,Genome,100,1,98,149,3,53,3,4,74521143748,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,75.5088,1722.79
ef08cdd403,Genome,100,1,98,149,3,53,3,4,74521143748,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,75.7846,6825.54
053295ac84,Genome,100,1,98,149,3,53,3,4,74521143748,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,74.6322,5436.49
c438a3b09a,Genome,100,1,98,149,3,53,3,4,74521143748,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,74.5797,10069.82
37eef1e949,Genome,100,1,98,149,3,53,3,4,74521143748,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,74.5784,33563.04
bcd0aa6f34,Genome,100,2,98,143,3,51,3,4,73486707329,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,74.7695,1703.48
4ff6ae16a1,Genome,100,2,98,143,3,51,3,4,73486707329,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,75.0132,6754.86
0a3fe7f147,Genome,100,2,98,143,3,51,3,4,73486707329,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,73.62,5362.69
8c06d60c8f,Genome,100,2,98,143,3,51,3,4,73486707329,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,73.5859,9935.61
225bd58c2b,Genome,100,2,98,143,3,51,3,4,73486707329,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,73.5854,33116.12
5cb1aa8f62,Genome,100,3,98,152,3,55,3,4,71563169217,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,72.4012,1655.35
9cd7850f5f,Genome,100,3,98,152,3,55,3,4,71563169217,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,72.7754,6556.2
3e44c300b2,Genome,100,3,98,152,3,55,3,4,71563169217,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,71.7196,5224.43
f5d9b80189,Genome,100,3,98,152,3,55,3,4,71563169217,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,71.654,9674.84
0f0389fa5c,Genome,100,3,98,152,3,55,3,4,71563169217,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,71.6525,32246.41
29161ebd8d,Genome,100,4,98,149,3,55,3,4,66477147397,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,67.0329,1538.19
eb2dc81daf,Genome,100,4,98,149,3,55,3,4,66477147397,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,67.1959,6056.52
f4f43e184c,Genome,100,4,98,149,3,55,3,4,66477147397,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,66.6135,4852.65
0c7a1d0a27,Genome,100,4,98,149,3,55,3,4,66477147397,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,66.5714,8988.66
10aef62ef9,Genome,100,4,98,149,3,55,3,4,66477147397,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,66.5704,29959.4
